id,modulo_id,subtema,tema,nivel,tipo,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,respuesta_correcta,explicacion,formula,activo,created_at
1,8,teoria_consumidor,Equilibrio del Consumidor,basico,opcion_multiple,"Un consumidor tiene función de utilidad U(x,y) = x^0.5 * y^0.5, ingreso de $100, Px = $10 y Py = $5. ¿Cuántas unidades de X comprará en equilibrio?",3 unidades,5 unidades,7 unidades,10 unidades,b,"Con función Cobb-Douglas U = x^a * y^b, la demanda óptima es: x* = (a/(a+b)) * (M/Px). Aquí: x* = (0.5/1) * (100/10) = 0.5 * 10 = 5 unidades.",x* = (a/(a+b)) * (M/Px) para Cobb-Douglas,true,2026-02-01 16:29:51.846067
2,8,teoria_consumidor,Equilibrio del Consumidor,intermedio,opcion_multiple,"Si la Tasa Marginal de Sustitución (TMS) es 3 y la relación de precios Px/Py es 2, ¿qué debe hacer el consumidor para maximizar su utilidad?",Consumir más de Y y menos de X,Consumir más de X y menos de Y,"Mantener el consumo actual, ya está en equilibrio",Consumir cantidades iguales de X e Y,b,"TMS = 3 significa que valoras X tres veces más que Y. Pero en el mercado, X solo cuesta 2 veces más que Y (Px/Py = 2). Por tanto, X es ""barato"" relativo a tu valoración. Debes consumir MÁS X hasta que tu TMS baje a 2.",Equilibrio: TMS = Px/Py,true,2026-02-01 16:29:51.846067
3,8,teoria_consumidor,Efectos Ingreso y Sustitución,avanzado,opcion_multiple,"Un consumidor tiene preferencias cuasilineales U(x,y) = ln(x) + y. Si el precio de X baja, ¿qué efecto predomina?",Efecto sustitución únicamente (no hay efecto ingreso en X),Efecto ingreso únicamente,Ambos efectos en igual proporción,Ningún efecto (demanda inelástica),a,"En preferencias cuasilineales, el efecto ingreso es CERO para el bien con utilidad marginal decreciente (X). Solo existe efecto sustitución. La demanda de X depende solo de los precios relativos, no del ingreso.",Cuasilineales: ∂x/∂M = 0 (no efecto ingreso en X),true,2026-02-01 16:29:51.846067
4,8,teoria_consumidor,Curvas de Indiferencia,basico,opcion_multiple,¿Cuál de las siguientes afirmaciones sobre las curvas de indiferencia es FALSA?,Son convexas al origen,Nunca se cruzan entre sí,Tienen pendiente positiva,Muestran combinaciones de bienes con igual utilidad,c,"Las curvas de indiferencia tienen pendiente NEGATIVA (no positiva). Para mantener la utilidad constante, al aumentar un bien debes disminuir el otro. Una pendiente positiva violaría el supuesto de ""más es mejor"".",Pendiente CI = -TMS < 0,true,2026-02-01 16:29:51.846067
5,8,teoria_consumidor,Clasificación de Bienes,intermedio,opcion_multiple,"Si el ingreso de un consumidor aumenta 20% y su consumo de papas disminuye 10%, las papas son:",Un bien normal,Un bien inferior,Un bien de lujo,Un bien Giffen,b,"Elasticidad ingreso = %ΔQ / %ΔM = -10% / 20% = -0.5 (negativa). Cuando la elasticidad ingreso es negativa, el bien es INFERIOR: al tener más dinero, consumes menos (cambias a bienes mejores).",Elasticidad Ingreso < 0 → Bien Inferior,true,2026-02-01 16:29:51.846067
6,8,elasticidades,Elasticidad Precio,basico,opcion_multiple,"Si la elasticidad precio de la demanda es -2.5 y el precio aumenta 10%, ¿cuánto cambia la cantidad demandada?",Disminuye 25%,Disminuye 4%,Aumenta 25%,Disminuye 2.5%,a,EPD = %ΔQd / %ΔP. Entonces %ΔQd = EPD × %ΔP = -2.5 × 10% = -25%. La cantidad demandada DISMINUYE 25%.,EPD = (%ΔQd) / (%ΔP),true,2026-02-01 16:29:51.846067
7,8,elasticidades,Elasticidad e Ingresos,intermedio,opcion_multiple,"Una empresa tiene EPD = -0.6. Si aumenta su precio 15%, ¿qué ocurre con sus ingresos totales?","Aumentan, porque la demanda es inelástica","Disminuyen, porque la demanda es elástica",Se mantienen constantes,No se puede determinar sin conocer la cantidad,a,"|EPD| = 0.6 < 1 (inelástica). En demanda inelástica, al subir el precio, los ingresos AUMENTAN porque la cantidad cae menos que proporcionalmente. ↑P 15% → ↓Q solo 9% (0.6×15%) → IT sube aproximadamente 5%.",Inelástica (|EPD|<1): ↑P → ↑IT,true,2026-02-01 16:29:51.846067
8,8,elasticidades,Elasticidad Cruzada,avanzado,opcion_multiple,"La elasticidad precio cruzada entre bien X y bien Y es +1.8. Si el precio de Y aumenta 20%, ¿qué pasa con la demanda de X?",Aumenta 36% (son sustitutos),Disminuye 36% (son complementarios),Aumenta 11.1% (son independientes),No cambia (elasticidad unitaria),a,"EPCxy = +1.8 > 0, por tanto son SUSTITUTOS. %ΔQx = EPCxy × %ΔPy = 1.8 × 20% = 36%. Cuando sube el precio de Y, los consumidores CAMBIAN a X (aumenta demanda de X en 36%).",EPC > 0 → Sustitutos; EPC < 0 → Complementarios,true,2026-02-01 16:29:51.846067
9,8,elasticidades,Monopolio y Elasticidad,intermedio,opcion_multiple,¿En qué parte de la curva de demanda un monopolista NUNCA operará?,Zona elástica (|EPD| > 1),Zona inelástica (|EPD| < 1),Elasticidad unitaria (|EPD| = 1),Zona de demanda perfectamente inelástica,b,"En la zona inelástica, al subir precio aumentan los ingresos Y bajan los costos (menos producción). El monopolista siempre puede mejorar su beneficio subiendo el precio. Seguirá haciéndolo hasta entrar en la zona elástica donde IMg = CMg.",Monopolio opera donde |EPD| > 1,true,2026-02-01 16:29:51.846067
10,8,elasticidades,Relación entre Bienes,basico,opcion_multiple,"Si dos bienes tienen elasticidad cruzada negativa, son:",Bienes sustitutos,Bienes complementarios,Bienes independientes,Bienes Giffen,b,"Elasticidad cruzada negativa significa que cuando sube el precio de uno, BAJA la demanda del otro. Se consumen juntos (café y azúcar, autos y gasolina). Son COMPLEMENTARIOS.",EPCxy < 0 → Complementarios,true,2026-02-01 16:29:51.846067
11,8,elasticidades,Discriminación de Precios,avanzado,opcion_multiple,"Una aerolínea enfrenta EPD de ejecutivos = -0.4 y turistas = -2.2. Para maximizar ingresos, debe:",Cobrar más caro a ejecutivos (discriminación de precios),Cobrar más caro a turistas,Cobrar el mismo precio a ambos (no discriminar),Cobrar menos a ejecutivos para capturar más volumen,a,"Los ejecutivos son INELÁSTICOS (|-0.4| < 1): no son sensibles al precio (necesitan viajar por negocios). Los turistas son ELÁSTICOS (|-2.2| > 1): muy sensibles. Cobra CARO a inelásticos (ejecutivos), barato a elásticos (turistas). Clásica discriminación de precios de 3er grado.",Cobra más al segmento menos elástico,true,2026-02-01 16:29:51.846067
12,8,teoria_productor,Rendimientos a Escala,basico,opcion_multiple,Una empresa con función de producción Q = 2L^0.5 * K^0.5 tiene rendimientos a escala:,Decrecientes,Constantes,Crecientes,Negativos,b,"Suma los exponentes: 0.5 + 0.5 = 1. Si multiplicas L y K por λ, Q se multiplica por λ^1 = λ. Esto define rendimientos CONSTANTES a escala. (Suma < 1 = decrecientes, Suma > 1 = crecientes).",Q = AL^α K^β → Suma α+β = 1 → Constantes,true,2026-02-01 16:29:51.846067
13,8,teoria_productor,Producto Marginal y Medio,intermedio,opcion_multiple,"Si el Producto Marginal del trabajo es 20 y el Producto Medio es 25, al contratar un trabajador más:",El Producto Medio aumentará,El Producto Medio disminuirá,El Producto Medio se mantendrá constante,El Producto Total disminuirá,b,"PMg (20) < PMe (25). Cuando el marginal está por debajo del promedio, el promedio BAJA. Es como sacar 20 en un examen cuando tu promedio es 25: tu promedio cae. Ley matemática universal.",PMg < PMe → PMe decreciente,true,2026-02-01 16:29:51.846067
14,8,teoria_productor,Homoteticidad,avanzado,opcion_multiple,Una función de producción es homotética si:,La RMST depende solo del cociente K/L,Tiene rendimientos constantes a escala,El PMg es constante,Los isocuantas son líneas rectas,a,"Homoteticidad significa que la Relación Marginal de Sustitución Técnica (RMST = PMgL/PMgK) depende ÚNICAMENTE de la proporción K/L, no de los niveles absolutos. Implica que las sendas de expansión son líneas rectas desde el origen.",Homotética: RMST = f(K/L),true,2026-02-01 16:29:51.846067
